polrights_fh,country,year,corruption_perception_index_cpi,edu_exp_gdp_per_person,electricity_use_per_person,gini,internet_users,labour_force_participation_rate_percent,life_expectancy_years,military_spending_pct_of_gdp,murder_per_mil_people
7,Australia,2012,85,0.181,10400,32.4,79,0.652,82.5,1.68,1.23
7,Australia,2013,81,0.187,10200,31.9,83.5,0.65,82.6,1.6500000000000001,1.06
7,Australia,2014,80,0.182,10100,32.2,84,0.648,82.5,1.78,1.02
7,Australia,2015,79,0.188,10600,32.3,84.6,0.65,82.5,1.96,1.11
7,Australia,2016,79,0.193,10600,32.3,86.5,0.649,82.5,2.09,1.1
7,Australia,2017,77,0.1845,10600,32.3,86.5,0.648,82.4,2.01,1.1
7,Austria,2012,69,0.213,8550,30.6,80,0.603,81,0.7779999999999999,0.369
7,Austria,2013,69,0.229,8510,30.6,80.6,0.604,81.2,0.751,0.401
7,Austria,2014,72,0.226,8360,30.6,81,0.602,81.4,0.748,0.402
7,Austria,2015,76,0.232,8220,30.6,83.9,0.601,81.5,0.698,0.508
7,Austria,2016,75,0.235,8220,30.5,84.3,0.604,81.7,0.733,0.417
7,Austria,2017,75,0.2275,8220,30.5,87.9,0.603,81.8,0.756,0.558
7,Belgium,2012,75,0.221,7990,27.9,80.7,0.531,80.3,1.04,1.09
7,Belgium,2013,75,0.226,7990,27.8,82.2,0.535,80.5,1.01,0.94
7,Belgium,2014,76,0.222,7710,27.8,85,0.535,80.9,0.9780000000000001,0.987
7,Belgium,2015,77,0.22,8350,27.8,85.1,0.534,80.9,0.922,0.978
7,Belgium,2016,77,0.219,8350,27.8,86.5,0.532,81.2,0.919,1.19
7,Belgium,2017,75,0.221,8350,27.7,87.7,0.532,81.4,0.91,1.19
7,Canada,2012,84,0.176,15300,33.3,83,0.662,81.7,1.1199999999999999,1.51
7,Canada,2013,81,0.176,15800,32.8,85.8,0.662,81.9,1,1.51
7,Canada,2014,81,0.176,15600,32.2,87.1,0.657,81.8,0.992,1.51
7,Canada,2015,83,0.176,16450,31.7,90,0.655,81.7,1.15,1.51
7,Canada,2016,82,0.176,16450,31.1,91.2,0.654,81.9,1.16,1.51
7,Canada,2017,82,0.176,16450,31.1,91,0.652,82,1.29,1.51
7,Chile,2012,72,0.168,3810,47.6,55,0.619,79.3,2.0500000000000003,4.4
7,Chile,2013,71,0.158,3880,47.5,58,0.62,79.3,1.9900000000000002,4.4
7,Chile,2014,73,0.142,3880,47.5,61.1,0.622,79.6,1.96,4.4
7,Chile,2015,70,0.152,3305,47.5,76.6,0.623,79.6,1.9,4.4
7,Chile,2016,66,0.183,3305,47.6,83.6,0.621,79.7,1.92,4.4
7,Chile,2017,67,0.184,3305,47.7,82.3,0.623,79.7,1.94,4.4
4,Colombia,2012,36,0.149,1170,53.4,49,0.707,79.3,3.17,25.34
4,Colombia,2013,36,0.166,1310,52.7,51.7,0.705,79.6,3.29,25.34
4,Colombia,2014,37,0.17,1310,52.1,52.6,0.704,80,3.1300000000000003,25.34
4,Colombia,2015,37,0.174,988.5,51.7,55.9,0.706,80,3.1300000000000003,25.34
5,Colombia,2016,37,0.174,988.5,51.3,58.1,0.703,80,3.08,25.34
5,Colombia,2017,37,0.178,988.5,50.9,62.3,0.704,80.1,3.19,25.34
7,Czech Republic,2012,49,0.157,6300,26.3,73.4,0.587,78.1,1.0699999999999998,0.746
7,Czech Republic,2013,48,0.153,6280,26.2,74.1,0.594,78.4,1.03,0.797
7,Czech Republic,2014,51,0.151,6260,26,74.2,0.594,78.8,0.9730000000000001,0.658
7,Czech Republic,2015,56,0.149,6290,26,75.7,0.596,78.8,0.9530000000000001,0.66
7,Czech Republic,2016,55,0.139,6290,25.9,76.5,0.601,79,1,0.467
7,Czech Republic,2017,57,0.1315,6290,25.9,78.7,0.599,79.2,0.9690000000000001,0.766
7,Denmark,2012,90,0.256,6040,27.8,92.3,0.632,80.1,1.35,0.312
7,Denmark,2013,91,0.254,6040,28,94.6,0.623,80.4,1.23,0.381
7,Denmark,2014,92,0.251,5860,28.2,96,0.621,80.7,1.15,0.636
7,Denmark,2015,91,0.246,6510,28.3,96.3,0.62,80.9,1.11,0.572
7,Denmark,2016,90,0.246,6510,28.2,97,0.633,80.8,1.15,0.789
7,Denmark,2017,88,0.246,6510,28.2,97.1,0.631,80.8,1.15,0.789
7,Estonia,2012,64,0.225,6690,33.4,78.4,0.613,76.4,1.9,4.41
7,Estonia,2013,68,0.259,6660,33.5,80,0.613,77,1.91,3.61
7,Estonia,2014,69,0.224,6730,33.6,84.2,0.612,77.2,1.92,2.7
7,Estonia,2015,70,0.2,6130,33.5,88.4,0.622,77.7,2.02,2.74
7,Estonia,2016,70,0.203,6130,33.1,87.2,0.629,77.9,2.08,5.78
7,Estonia,2017,71,0.203,6130,32.7,88.1,0.628,78.1,2.03,5.78
7,Finland,2012,90,0.206,15700,27.3,89.9,0.597,80.7,1.54,1.34
7,Finland,2013,89,0.207,15500,27.2,91.5,0.59,80.9,1.54,1.4
7,Finland,2014,89,0.211,15200,27.1,86.5,0.589,81.3,1.46,1.4
7,Finland,2015,90,0.22,16100,27.1,86.4,0.588,81.6,1.46,1.8250000000000002
7,Finland,2016,89,0.215,16100,27,87.7,0.585,81.5,1.43,1.8250000000000002
7,Finland,2017,85,0.1865,16100,27.1,87.5,0.583,81.4,1.37,1.8250000000000002
