model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
polrights_fh ~ corruption_perception_index_cpi,0.4275651191460787,0.42667899703949375,0.595117138366534,482.5126424098038,2.665561546451352e-80,1,-582.1605531215249,1170.3211062430498,1183.7427783321066,228.79020781191173,646,648
polrights_fh ~ edu_exp_gdp_per_person,0.06824289183426284,0.06680054336960994,0.7592604360894587,47.3137341680383,1.4311660397478874e-11,1,-740.0046645555377,1486.0093291110754,1499.4310012001322,372.4037607377477,646,648
polrights_fh ~ electricity_use_per_person,0.11035601769058594,0.10897885982323385,0.7419036974347429,80.13316432833936,3.688587570195559e-18,1,-725.0194039480584,1456.0388078961169,1469.4604799851736,355.5720281887033,646,648
polrights_fh ~ gini,0.33004322875786235,0.3290061439726577,0.6438175383361998,318.24131784246254,3.541037625498062e-58,1,-633.130355879703,1272.260711759406,1285.6823838484627,267.76766064435753,646,648
polrights_fh ~ internet_users,0.20927946459973998,0.20805543900314516,0.699440734825226,170.97637923744708,7.856528493572264e-35,1,-686.8273327635748,1379.6546655271495,1393.0763376162063,316.0344026302224,646,648
polrights_fh ~ labour_force_participation_rate_percent,0.03318327370733335,0.03168665338799481,0.7734130404186909,22.17213897109213,3.052439502442667e-6,1,-751.9721819853736,1509.9443639707472,1523.366036059804,386.4163542839356,646,648
polrights_fh ~ life_expectancy_years,0.06840775819867516,0.06696566494511269,0.7591932608329686,47.43643174925514,1.3500956701683603e-11,1,-739.9473304842753,1485.8946609685506,1499.3163330576074,372.3378671120505,646,648
polrights_fh ~ military_spending_pct_of_gdp,0.1377960109490579,0.13646132985145587,0.7303725233646492,103.24264814765547,1.3334576388525978e-22,1,-714.8686543974447,1435.7373087948895,1449.1589808839462,344.6048387843851,646,648
polrights_fh ~ murder_per_mil_people,0.3023970737758864,0.30131719308513705,0.6569670067285651,280.028225679295,1.7390543643723236e-52,1,-646.2319041957362,1298.4638083914724,1311.8854804805292,278.81724856270927,646,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person,0.45316443362373343,0.4514688194644273,0.5821088354040299,267.25681142527264,2.876093476616514e-85,2,-567.3372821242818,1142.6745642485637,1160.5701270339728,218.5586990847562,645,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person,0.42763234459193955,0.4258575611643177,0.5955433181051556,240.94902957536743,7.082955317284769e-79,2,-582.1225010666177,1172.2450021332354,1190.1405649186445,228.76333921210556,645,648
polrights_fh ~ corruption_perception_index_cpi + gini,0.500567421040008,0.49901879288819406,0.5563066466472,323.23280475928755,5.73839173940969e-98,2,-537.9584086569391,1083.9168173138783,1101.8123800992873,199.61271989198497,645,648
polrights_fh ~ corruption_perception_index_cpi + internet_users,0.4349822731874008,0.43323028023604393,0.591707196354293,248.27855206295914,1.0965254575048414e-80,2,-577.9349845906302,1163.8699691812603,1181.7655319666694,225.82572701026035,645,648
polrights_fh ~ corruption_perception_index_cpi + labour_force_participation_rate_percent,0.4467970097720695,0.44508165166283564,0.5854881018935201,260.4686492965695,1.2029770903975468e-83,2,-571.0881840484097,1150.1763680968195,1168.0719308822286,221.1036247609756,645,648
polrights_fh ~ corruption_perception_index_cpi + life_expectancy_years,0.4279986730246551,0.4262250254991502,0.5953527069070796,241.30988083599462,5.761614654888355e-79,2,-581.9150672439938,1171.8301344879876,1189.7256972733967,228.61692542592365,645,648
polrights_fh ~ corruption_perception_index_cpi + military_spending_pct_of_gdp,0.47402892410928915,0.4723980060445119,0.5708956653132675,290.65158719300143,1.0237656364170524e-90,2,-554.7330584600824,1117.4661169201647,1135.3616797055738,210.21960013439352,645,648
