country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,0.12,0.122,0.0832,0.112,0.117,0.102,0.103,0.103,
Albania,,,,,,,,,,,,,,,,,,,,,0.298,,0.342,
Algeria,,,,,0.122,0.099,,0.11,0.115,,,,,,,,,,,,,,,
Andorra,,,,,,,,0.0778,,0.0797,0.0744,0.0973,0.0992,,0.157,0.171,0.178,,0.156,0.13,0.135,0.127,0.127,0.123
Antigua and Barbuda,,,,,,,,,,,,,,,0.0806,,,,,,,,,
Argentina,,,,0.11,0.124,0.123,0.138,0.108,0.105,0.1,0.105,0.115,0.127,0.137,0.148,0.137,0.142,0.146,0.144,0.144,0.156,0.152,0.15,
Armenia,,,,,,,,,,,,,,,,,,0.108,0.11,,0.11,0.113,0.102,
Australia,0.157,,,,,0.167,,,,,0.179,0.177,0.173,0.177,0.199,0.223,0.2,0.181,0.187,0.182,0.188,0.193,,
Austria,,,,0.245,0.244,0.225,0.224,0.229,0.226,0.22,0.226,0.226,0.222,0.232,0.251,0.249,0.246,0.213,0.229,0.226,0.232,0.235,,
Bahrain,,,,,,,,,,,,,,,,,,,0.105,0.103,0.112,,,
Bangladesh,,,,,,,,,,,,0.0758,0.088,0.083,0.0757,,,,,,,,,
Barbados,,,,,0.106,0.141,0.195,0.178,0.195,0.198,0.192,,,0.221,,,,,,,,0.208,,
Belgium,,,,,,,,,,,,,,,,,,,0.226,0.222,0.22,0.219,,
Belize,,,,,0.169,0.162,,,,0.124,0.137,0.141,,0.155,0.161,0.182,,0.15,0.161,0.163,0.151,0.162,0.166,
Benin,,,,,,0.109,0.12,0.101,0.1,0.105,0.101,0.113,,0.116,0.126,0.137,,0.122,0.11,0.102,0.103,,,
Bhutan,,,,,,,,,,0.083,0.104,,,0.0714,0.0873,0.0751,0.0911,,0.0774,0.128,,,,
Botswana,,,,,,,,,,,0.172,,0.135,,0.101,,,,,,,,,
Brazil,,,,,0.106,0.105,0.104,0.098,,0.127,0.152,,0.169,0.181,0.197,0.205,0.201,0.195,0.197,0.195,0.201,,,
