country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,0.167,,,0.179,0.197,,0.264,0.327,,,0.179,0.186,,,,,,,,0.276,,,,,,,,,,,,,,,,,,,,,,,0.799,0.844,0.856,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.916,,,,0.966,0.964,,0.944,0.934,,,0.962,0.924,0.911,0.888,0.93,0.987,0.895,1.01,0.989,0.999,1.02,1.02,
Algeria,,,0.416,0.436,0.459,0.515,0.577,0.609,0.635,0.633,0.628,0.667,0.681,0.706,0.749,0.884,0.726,0.746,0.756,0.785,0.774,0.766,0.799,0.796,0.789,0.804,0.836,0.838,,0.828,0.802,0.863,0.881,0.897,0.913,0.931,0.836,0.944,1.13,0.919,0.956,0.976,1.02,1.06,1.08,1.06,1.06,1.06,1.05,
Angola,,,,,,,,,,,,0.429,0.372,,,,,,,,,0.292,,,,,,,,,,,,,,,,,0.392,0.388,0.398,0.462,,,,,,,,
Antigua and Barbuda,,,,,,0.786,0.8,,,,,,,,,,,,,,,,0.859,,,,,,,,,,,,,,,,1.11,1.01,1.07,1.04,,,1.11,0.926,,0.982,0.962,
Argentina,0.71,0.718,,,0.756,0.789,0.786,,,,,,,,,,,,,,,,,,0.986,,0.93,0.915,0.992,0.972,0.973,0.968,1.01,0.982,0.966,0.946,0.971,0.999,1.03,1.03,1.04,1.04,1.03,1.02,1.03,1.03,1.04,1,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,0.939,,,,,0.937,0.893,1,0.927,0.938,1.02,1.06,,0.945,0.938,0.939,,0.967,0.946,0.908,0.92,0.899,
Austria,,0.95,0.969,0.971,,,,,,,,,,,,,,,,,,,,,,,,,1.01,1.01,,,1,,0.987,,,,,,,0.968,0.967,0.976,0.987,1,0.997,0.995,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.994,0.94,0.915,0.824,0.995,0.954,0.922,0.895,0.952,0.976,0.927,0.956,0.934,0.916,0.981,0.907,0.918,0.895,0.928,0.92,0.881,0.981,1.03,1.11,1.07,1,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,0.863,,,,,0.822,,,,,,1.02,0.958,0.964,0.923,0.905,0.824,0.897,0.893,0.792,0.801,0.852,0.774,,0.765,
